Folder_ID	Encoding_Vector
01	1 0.447368 0.552632 0.205128 0.487179 0.307692 0.166667 0.611111 0.222222 0.179487 0.525641 0.294872 0.0652174 0.376812 0.427536 0.130435 0.0925926 0.324074 0.416667 0.166667 0.0555556 0.344444 0.522222 0.0777778 0.0789474 0.421053 0.394737 0.105263 
01_O	1 0.552632 0.447368 0.307692 0.525641 0.166667 0.314815 0.481481 0.203704 0.282051 0.512821 0.205128 0.188406 0.362319 0.398551 0.0507246 0.175926 0.398148 0.361111 0.0648148 0.166667 0.422222 0.333333 0.0777778 0.105263 0.473684 0.315789 0.105263 
02	1 0.473684 0.526316 0.25641 0.525641 0.217949 0.240741 0.518519 0.240741 0.217949 0.5 0.282051 0.115942 0.42029 0.362319 0.101449 0.111111 0.444444 0.342593 0.101852 0.144444 0.3 0.477778 0.0777778 0.105263 0.315789 0.447368 0.131579 
02_O	1 0.631579 0.368421 0.448718 0.487179 0.0641026 0.425926 0.462963 0.111111 0.435897 0.397436 0.166667 0.297101 0.492754 0.210145 0 0.296296 0.472222 0.212963 0.0185185 0.311111 0.455556 0.177778 0.0555556 0.342105 0.394737 0.184211 0.0789474 
03	1 0.421053 0.578947 0.115385 0.628205 0.25641 0.222222 0.462963 0.314815 0.217949 0.410256 0.371795 0.0434783 0.34058 0.514493 0.101449 0.0277778 0.388889 0.453704 0.12963 0.111111 0.311111 0.366667 0.211111 0.157895 0.289474 0.342105 0.210526 
03_O	1 0.394737 0.605263 0.205128 0.448718 0.346154 0.203704 0.388889 0.407407 0.115385 0.538462 0.346154 0.115942 0.275362 0.369565 0.23913 0.0740741 0.305556 0.407407 0.212963 0.0666667 0.355556 0.322222 0.255556 0.0263158 0.289474 0.5 0.184211 
04	1 0.5 0.5 0.230769 0.487179 0.282051 0.240741 0.481481 0.277778 0.230769 0.538462 0.230769 0.101449 0.376812 0.347826 0.173913 0.12037 0.37037 0.342593 0.166667 0.111111 0.366667 0.377778 0.144444 0.0789474 0.368421 0.394737 0.157895 
04_O	1 0.552632 0.447368 0.423077 0.307692 0.269231 0.333333 0.462963 0.203704 0.333333 0.487179 0.179487 0.304348 0.297101 0.253623 0.144928 0.305556 0.287037 0.268519 0.138889 0.188889 0.4 0.333333 0.0777778 0.210526 0.5 0.210526 0.0789474 
05	1 0.578947 0.421053 0.320513 0.512821 0.166667 0.314815 0.518519 0.166667 0.333333 0.487179 0.179487 0.166667 0.471014 0.289855 0.0724638 0.203704 0.37037 0.351852 0.0740741 0.166667 0.444444 0.333333 0.0555556 0.210526 0.447368 0.263158 0.0789474 
05_O	1 0.473684 0.526316 0.230769 0.538462 0.230769 0.203704 0.574074 0.222222 0.230769 0.474359 0.294872 0.101449 0.376812 0.449275 0.0724638 0.0925926 0.407407 0.37963 0.12037 0.0888889 0.422222 0.377778 0.111111 0.0789474 0.447368 0.342105 0.131579 
06	1 0.447368 0.552632 0.25641 0.423077 0.320513 0.148148 0.62963 0.222222 0.230769 0.435897 0.333333 0.101449 0.362319 0.369565 0.166667 0.166667 0.287037 0.37037 0.175926 0.0555556 0.355556 0.488889 0.1 0.131579 0.236842 0.447368 0.184211 
06_O	1 0.578947 0.421053 0.384615 0.423077 0.192308 0.259259 0.592593 0.148148 0.358974 0.448718 0.192308 0.202899 0.398551 0.34058 0.057971 0.25 0.37963 0.277778 0.0925926 0.133333 0.511111 0.3 0.0555556 0.184211 0.289474 0.447368 0.0789474 
07	1 0.526316 0.473684 0.294872 0.538462 0.166667 0.277778 0.537037 0.185185 0.282051 0.487179 0.230769 0.137681 0.478261 0.333333 0.0507246 0.138889 0.490741 0.268519 0.101852 0.166667 0.377778 0.4 0.0555556 0.157895 0.473684 0.263158 0.105263 
07_O	1 0.578947 0.421053 0.333333 0.512821 0.153846 0.388889 0.462963 0.148148 0.346154 0.487179 0.166667 0.195652 0.485507 0.268116 0.0507246 0.203704 0.453704 0.296296 0.0462963 0.2 0.466667 0.266667 0.0666667 0.315789 0.368421 0.289474 0.0263158 
08	1 0.394737 0.605263 0.128205 0.525641 0.346154 0.148148 0.518519 0.333333 0.102564 0.602564 0.294872 0.0507246 0.275362 0.492754 0.181159 0.0277778 0.314815 0.5 0.157407 0.0222222 0.311111 0.5 0.166667 0 0.342105 0.578947 0.0789474 
08_O	1 0.447368 0.552632 0.166667 0.512821 0.320513 0.148148 0.537037 0.314815 0.166667 0.551282 0.282051 0.0507246 0.297101 0.492754 0.15942 0.0740741 0.240741 0.546296 0.138889 0.0333333 0.355556 0.444444 0.166667 0.0526316 0.236842 0.605263 0.105263 
09	1 0.421053 0.578947 0.217949 0.487179 0.294872 0.166667 0.592593 0.240741 0.166667 0.512821 0.320513 0.0797101 0.376812 0.434783 0.108696 0.0833333 0.37037 0.37963 0.166667 0.0555556 0.377778 0.466667 0.1 0.0526316 0.5 0.315789 0.131579 
09_O	1 0.605263 0.394737 0.487179 0.320513 0.192308 0.425926 0.407407 0.166667 0.333333 0.538462 0.128205 0.398551 0.23913 0.275362 0.0869565 0.351852 0.314815 0.240741 0.0925926 0.311111 0.3 0.366667 0.0222222 0.210526 0.473684 0.315789 0 
10	1 0.526316 0.473684 0.269231 0.512821 0.217949 0.240741 0.592593 0.166667 0.25641 0.538462 0.205128 0.123188 0.405797 0.405797 0.0652174 0.12963 0.425926 0.351852 0.0925926 0.1 0.422222 0.444444 0.0333333 0.105263 0.473684 0.342105 0.0789474 
100	1 0.5 0.5 0.25641 0.461538 0.282051 0.222222 0.574074 0.203704 0.282051 0.435897 0.282051 0.130435 0.326087 0.434783 0.108696 0.12037 0.416667 0.287037 0.175926 0.111111 0.366667 0.422222 0.1 0.184211 0.342105 0.315789 0.157895 
100_O	1 0.578947 0.421053 0.346154 0.487179 0.166667 0.296296 0.574074 0.12963 0.346154 0.474359 0.179487 0.181159 0.463768 0.304348 0.0507246 0.203704 0.435185 0.287037 0.0740741 0.144444 0.522222 0.288889 0.0444444 0.210526 0.368421 0.394737 0.0263158 
101	1 0.394737 0.605263 0.102564 0.602564 0.294872 0.185185 0.407407 0.407407 0.205128 0.384615 0.410256 0.0289855 0.289855 0.528986 0.152174 0.0277778 0.314815 0.509259 0.148148 0.1 0.255556 0.377778 0.266667 0.105263 0.263158 0.263158 0.368421 
101_O	1 0.473684 0.526316 0.192308 0.602564 0.205128 0.259259 0.444444 0.296296 0.166667 0.628205 0.205128 0.0797101 0.42029 0.413043 0.0869565 0.0462963 0.435185 0.462963 0.0555556 0.133333 0.311111 0.444444 0.111111 0.0263158 0.473684 0.473684 0.0263158 
102	1 0.552632 0.447368 0.282051 0.474359 0.24359 0.277778 0.5 0.222222 0.269231 0.576923 0.153846 0.137681 0.391304 0.347826 0.123188 0.12963 0.398148 0.398148 0.0740741 0.133333 0.388889 0.388889 0.0888889 0.0789474 0.473684 0.394737 0.0526316 
102_O	1 0.5 0.5 0.217949 0.615385 0.166667 0.333333 0.333333 0.333333 0.24359 0.5 0.25641 0.137681 0.384058 0.384058 0.0942029 0.0925926 0.37037 0.509259 0.0277778 0.233333 0.266667 0.322222 0.177778 0.0789474 0.447368 0.342105 0.131579 
103	1 0.552632 0.447368 0.25641 0.538462 0.205128 0.277778 0.518519 0.203704 0.397436 0.307692 0.294872 0.108696 0.427536 0.391304 0.0724638 0.185185 0.324074 0.37037 0.12037 0.2 0.322222 0.366667 0.111111 0.368421 0.184211 0.131579 0.315789 
103_O	1 0.473684 0.526316 0.141026 0.666667 0.192308 0.277778 0.425926 0.296296 0.205128 0.551282 0.24359 0.057971 0.391304 0.485507 0.0652174 0.00925926 0.490741 0.462963 0.037037 0.122222 0.366667 0.333333 0.177778 0.105263 0.342105 0.473684 0.0789474 
104	1 0.605263 0.394737 0.307692 0.538462 0.153846 0.351852 0.481481 0.166667 0.358974 0.5 0.141026 0.166667 0.471014 0.297101 0.0652174 0.157407 0.481481 0.296296 0.0648148 0.211111 0.411111 0.322222 0.0555556 0.184211 0.473684 0.315789 0.0263158 
104_O	1 0.447368 0.552632 0.166667 0.525641 0.307692 0.148148 0.555556 0.296296 0.205128 0.487179 0.307692 0.0507246 0.318841 0.478261 0.152174 0.0648148 0.351852 0.398148 0.185185 0.0333333 0.411111 0.377778 0.177778 0.0789474 0.236842 0.5 0.184211 
105	1 0.421053 0.578947 0.217949 0.487179 0.294872 0.166667 0.592593 0.240741 0.179487 0.5 0.320513 0.101449 0.326087 0.456522 0.115942 0.0925926 0.398148 0.361111 0.148148 0.0666667 0.322222 0.522222 0.0888889 0.0789474 0.342105 0.447368 0.131579 
105_O	1 0.552632 0.447368 0.25641 0.564103 0.179487 0.314815 0.5 0.185185 0.320513 0.474359 0.205128 0.130435 0.434783 0.369565 0.0652174 0.12963 0.490741 0.305556 0.0740741 0.155556 0.433333 0.3 0.111111 0.184211 0.394737 0.342105 0.0789474 
106	1 0.552632 0.447368 0.294872 0.512821 0.192308 0.240741 0.611111 0.148148 0.333333 0.423077 0.24359 0.115942 0.456522 0.369565 0.057971 0.166667 0.407407 0.342593 0.0833333 0.111111 0.477778 0.344444 0.0666667 0.184211 0.368421 0.263158 0.184211 
106_O	1 0.605263 0.394737 0.269231 0.628205 0.102564 0.425926 0.37037 0.203704 0.384615 0.435897 0.179487 0.166667 0.463768 0.333333 0.0362319 0.12963 0.537037 0.314815 0.0185185 0.288889 0.344444 0.233333 0.133333 0.289474 0.368421 0.210526 0.131579 
107	1 0.552632 0.447368 0.346154 0.474359 0.179487 0.314815 0.592593 0.0925926 0.371795 0.384615 0.24359 0.202899 0.434783 0.326087 0.0362319 0.25 0.416667 0.25 0.0833333 0.166667 0.466667 0.333333 0.0333333 0.289474 0.368421 0.236842 0.105263 
107_O	1 0.631579 0.368421 0.371795 0.538462 0.0897436 0.444444 0.462963 0.0925926 0.410256 0.448718 0.141026 0.217391 0.550725 0.217391 0.0144928 0.231481 0.527778 0.222222 0.0185185 0.266667 0.477778 0.222222 0.0333333 0.315789 0.421053 0.236842 0.0263158 
108	1 0.447368 0.552632 0.166667 0.487179 0.346154 0.166667 0.518519 0.314815 0.166667 0.576923 0.25641 0.0652174 0.304348 0.427536 0.202899 0.0462963 0.342593 0.425926 0.185185 0.0555556 0.288889 0.522222 0.133333 0.0263158 0.368421 0.5 0.105263 
108_O	1 0.342105 0.657895 0.0897436 0.576923 0.333333 0.203704 0.259259 0.537037 0.166667 0.358974 0.474359 0.0289855 0.318841 0.391304 0.26087 0.00925926 0.268519 0.527778 0.194444 0.188889 0.111111 0.277778 0.422222 0.157895 0.105263 0.342105 0.394737 
109	1 0.631579 0.368421 0.410256 0.461538 0.128205 0.351852 0.592593 0.0555556 0.397436 0.487179 0.115385 0.210145 0.536232 0.231884 0.0217391 0.259259 0.509259 0.185185 0.0462963 0.144444 0.611111 0.244444 0 0.210526 0.552632 0.210526 0.0263158 
109_O	1 0.605263 0.394737 0.346154 0.538462 0.115385 0.388889 0.462963 0.148148 0.358974 0.5 0.141026 0.202899 0.471014 0.311594 0.0144928 0.185185 0.537037 0.231481 0.0462963 0.244444 0.422222 0.277778 0.0555556 0.236842 0.421053 0.315789 0.0263158 
10_O	1 0.447368 0.552632 0.230769 0.448718 0.320513 0.222222 0.481481 0.296296 0.179487 0.551282 0.269231 0.130435 0.318841 0.355072 0.195652 0.12037 0.324074 0.388889 0.166667 0.1 0.333333 0.422222 0.144444 0.0789474 0.289474 0.552632 0.0789474 
11	1 0.447368 0.552632 0.192308 0.512821 0.294872 0.203704 0.481481 0.314815 0.153846 0.576923 0.269231 0.0869565 0.326087 0.42029 0.166667 0.0648148 0.314815 0.518519 0.101852 0.0777778 0.322222 0.455556 0.144444 0.0263158 0.342105 0.526316 0.105263 
110	1 0.526316 0.473684 0.294872 0.5 0.205128 0.259259 0.518519 0.222222 0.25641 0.551282 0.192308 0.152174 0.391304 0.384058 0.0724638 0.111111 0.472222 0.342593 0.0740741 0.144444 0.366667 0.411111 0.0777778 0.105263 0.447368 0.394737 0.0526316 
110_O	1 0.605263 0.394737 0.25641 0.602564 0.141026 0.351852 0.425926 0.222222 0.410256 0.397436 0.192308 0.144928 0.434783 0.355072 0.0652174 0.0925926 0.527778 0.324074 0.0555556 0.233333 0.4 0.2 0.166667 0.289474 0.263158 0.368421 0.0789474 
111	1 0.526316 0.473684 0.24359 0.487179 0.269231 0.277778 0.481481 0.240741 0.25641 0.551282 0.192308 0.144928 0.318841 0.398551 0.137681 0.138889 0.333333 0.425926 0.101852 0.133333 0.344444 0.411111 0.111111 0.0789474 0.5 0.342105 0.0789474 
